,name,price,url,brand,product_type,website
52,Miele kølefryseskab KD4072E ws | Elgiganten,5060.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kolefryseskab-kd4072e-ws/494380,Miele,Kølefryseskab,Elgiganten
53,Miele kølefryseskab KD4072E ws | Elgiganten,5060.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kolefryseskab-kd4072e-ws/494380,Miele,Kølefryseskab,Elgiganten
54,Miele kølefryseskab KD4072E ws | Elgiganten,5060.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kolefryseskab-kd4072e-ws/494380,Miele,Kølefryseskab,Elgiganten
55,Samsung side-by-side-kølefryseskab RH68B8541S9/EF | Elgiganten,10999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/amerikanerkoleskab/samsung-side-by-side-kolefryseskab-rh68b8541s9ef/455358,Samsung,Amerikanerkøleskab,Elgiganten
56,Hisense Refrigerators RL528D4ECD (Grey metallic textured) | Elgiganten,8295.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/hisense-refrigerators-rl528d4ecd-grey-metallic-textured/687691,Hisense,Køleskab,Elgiganten
57,LG opretstående fryser GFT61SWCSF (hvid) | Elgiganten,8999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/lg-opretstaende-fryser-gft61swcsf-hvid/299093,LG,Skabsfryser,Elgiganten
58,Samsung kølefryseskab RB34C705DB1/EF | Elgiganten,5499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705db1ef/613879,Samsung,Kølefryseskab,Elgiganten
59,LG køleskab GLM71MCCSF | Elgiganten,8999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/lg-koleskab-glm71mccsf/299095,LG,Køleskab,Elgiganten
60,LG kølefryseskab GBB71PZEGN | Elgiganten,9499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kolefryseskab-gbb71pzegn/432402,LG,Kølefryseskab,Elgiganten
61,Matsui minifryser MTF34W18E | Elgiganten,999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/matsui-minifryser-mtf34w18e/MTF34W18E,Matsui,Skabsfryser,Elgiganten
62,Liebherr fryser SFNsfe 5227-20 001 | Elgiganten,10835.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/liebherr-fryser-sfnsfe-5227-20-001/469370,Liebherr,Skabsfryser,Elgiganten
63,Logik kølefryseskab LNF180T23E | Elgiganten,2999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kolefryseskab-lnf180t23e/591904,Logik,Kølefryseskab,Elgiganten
64,Logik kølefryseskab LNF180W23E | Elgiganten,2595.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kolefryseskab-lnf180w23e/591902,Logik,Kølefryseskab,Elgiganten
65,Samsung kølefryseskab RB34C705DS9/EF | Elgiganten,5499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705ds9ef/613881,Samsung,Kølefryseskab,Elgiganten
66,Samsung kølefryseskab RB34C705DWW/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705dwwef/613871,Samsung,Kølefryseskab,Elgiganten
67,Dometic køleboks DCFF45 | Elgiganten,5591.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koletaske-og-koleboks/dometic-koleboks-dcff45/277673,Dometic,Køletaske og køleboks,Elgiganten
